proverb	topic
Вот тебе, боже, что нам негоже (искажена из предыдущей).	Тороватость — Скупость
У скупого со тчивого выйдет. Скупость на то же наведет.	Тороватость — Скупость
У скупого за два тчивых выйдет.	Тороватость — Скупость
У скупого больше пропадает.	Тороватость — Скупость
У скупого не чирьем, так вередом вырвет.	Тороватость — Скупость
Не жалей алтына: отдашь полтину.	Тороватость — Скупость
Пожалел алтына — рублем прост будешь (т. е. после).	Тороватость — Скупость
Пожалеешь лычка, не увяжешь и ремешком.	Тороватость — Скупость
Пожалеешь лычка, отдашь ремешок.	Тороватость — Скупость
Конь тощой — хозяин скупой.	Тороватость — Скупость
Либо корму жалеть, либо лошадь.	Тороватость — Скупость
Тем не подспоришь, что жидко растворишь (прибавка: на замес  больше пойдет).	Тороватость — Скупость
Из одного два сделаешь — оба скоротаешь (или: оба бросишь).	Тороватость — Скупость
Ношамое носится, держамое держится (вологод.).	Тороватость — Скупость
Что скупому в руки попало, то и пропало.	Тороватость — Скупость
У скупого что больше денег, то больше горя.	Тороватость — Скупость
Овца руно растит, а скупой деньги копит — не про себя.	Тороватость — Скупость
Скупые умирают, а дети сундуки отпирают.	Тороватость — Скупость
Скупой на тороватого (или: на мота) копит.	Тороватость — Скупость
Скупой копит — черт мошну тачает.	Тороватость — Скупость
Черт мошну тачает, скряга ее набивает.	Тороватость — Скупость
Тороватому бог дает, а у скупого черт таскает.	Тороватость — Скупость
Скупому душа дешевле гроша.	Тороватость — Скупость
Скупу человеку убавит бог веку.	Тороватость — Скупость
У скупого много пива, меду, да пора его и совсем в воду.	Тороватость — Скупость
Скряге деньги, что собаке сено.	Тороватость — Скупость
Как собака, на сене лежит: и сама не ест, и другим не дает.	Тороватость — Скупость
Развернись на все. Кутни на все. Тряхни мошной!	Бережь — Мотовство
Плюнь пошире! Махнем (Кутнем) да закаемся.	Бережь — Мотовство
Хоть на час, да вскачь.	Бережь — Мотовство
Лакомый мошны не завязывает.	Бережь — Мотовство
Сиг сигом, а сам босиком.	Бережь — Мотовство
Жили славой, а умерли — чужой саван.	Бережь — Мотовство
Щеголять смолоду, а под старость умирать с голоду.	Бережь — Мотовство
Живем рано, а сеем поздно.	Бережь — Мотовство
Ест орехи, а на зипуне прорехи.	Бережь — Мотовство
На брюхе шелк, а в брюхе-то щелк.	Бережь — Мотовство
Валяй чулки на паголенки.	Бережь — Мотовство
Чубарики чок-чок, а изба не крыта.	Бережь — Мотовство
Чист молодец: ни коз, ни овец.	Бережь — Мотовство
Чист молодец, промотался на голую кость.	Бережь — Мотовство
Выпьем? — Выпьем. — А деньги где? — А шапка-то у тебя на  что?	Бережь — Мотовство
Богу пятак да в кабак четвертак.	Бережь — Мотовство
Щегольски одеваюсь и допьяна напиваюсь.	Бережь — Мотовство
Разбросали палки на чужие галки.	Бережь — Мотовство
Трын трынил на святой Руси, да и протрынился еси.	Бережь — Мотовство
И велика была мошна, да вся изошла.	Бережь — Мотовство
На ветер живота не напасешься, на смерть детей не  нарожаешься.	Бережь — Мотовство
На ветер мякины не напашешь (или: не напасешься).	Бережь — Мотовство
На помойную яму не напасешься хламу.	Бережь — Мотовство
Все прошло, как огнем прижгло.	Бережь — Мотовство
Как в помойную яму. Как в пропасть.	Бережь — Мотовство
Все в тартарары провалилось.	Бережь — Мотовство
Как на огне горит. Живет, что в печи.	Бережь — Мотовство
Живет не живет, а проживать проживает.	Бережь — Мотовство
Живем пыльно, курим дымно; окурки есть, а выкурки нет.	Бережь — Мотовство
Лес по лесу, что рубль по рублю, не плачет.	Бережь — Мотовство
Как ни берегутся, а растрясутся. Как ни беречься, а, видно,  ожечься.	Бережь — Мотовство
И колодезь причерпывается.	Бережь — Мотовство
Все пошло на ветер. Все спустил и сам сел.	Бережь — Мотовство
На дворе мороз, а в кармане денежки тают.	Бережь — Мотовство
Держи копеечку, чтоб не укатилась.	Бережь — Мотовство
На деньгу оброти не накинешь.	Бережь — Мотовство
Гуляй, помахивай, мошной потряхивай!	Бережь — Мотовство
Дожили (или: До того дожили), что ножки съежили.	Бережь — Мотовство
Дошел до грязи, дожил до лыка.	Бережь — Мотовство
В руках было, да по пальцам сплыло.	Бережь — Мотовство
Было шильце, было мыльце и белое белильце, а хвать-похвать —  нет ничего!	Бережь — Мотовство
Было сельцо, да сменял на кольцо; было польцо (поле), да за  женину ласку сменял на коляску.	Бережь — Мотовство
К нам пришла — по рукам пошла (деньга).	Бережь — Мотовство
Отец накопил, а сын раструсил.	Бережь — Мотовство
Отцам копить, а деткам сорить.	Бережь — Мотовство
Он доколачивает последнюю тысчонку (или: сотнягу).	Бережь — Мотовство
Пришло молодцу к одному концу.	Бережь — Мотовство
У него расход — Кирилова монастыря, а приход — репной  пустыни.	Бережь — Мотовство
Рубль наживает, а два проживает.	Бережь — Мотовство
Переводит рубли на пятаки.	Бережь — Мотовство
Туда-сюда рубль, там-сям два, за мутовку — полтора, и все.	Бережь — Мотовство
Скопили (или: Свели) домок в один уголок.	Бережь — Мотовство
Живет на пусты лесы: ни в скоп, ни в горсть.	Бережь — Мотовство
Догнал полосу до самого лесу. Догнал батькину полосу до  самого лесу.	Бережь — Мотовство
Добро, собьем ведро: обручи под лавку, а клепки в печь — так  не будет течь.	Бережь — Мотовство
Будешь ты у меня под окном стоять (т. е. скоро обнищаешь).	Бережь — Мотовство
Семена съедим, так по урожаю тужить не станем.	Бережь — Мотовство
Семена съедим, так жать, спины не ломать.	Бережь — Мотовство
Мягкий съел, так черствый цел.	Бережь — Мотовство
Будет путь — да долго ждать; а к осени беречь — волк бы не  съел.	Бережь — Мотовство
Не по наживе еда — видима беда.	Бережь — Мотовство
Подальше положишь, поближе возьмешь.	Бережь — Мотовство
Всякая тряпица (или: небылица) в три года пригодится.	Бережь — Мотовство
Дано добро — и нажить и прожить.	Бережь — Мотовство
Не о том, кума, речь, а надо взять да беречь.	Бережь — Мотовство
Не о том речь, что много в печь, а о том, куда из печи идет.	Бережь — Мотовство
Не про то говорят, что много едят, а про то, куда крохи  девают.	Бережь — Мотовство
Нужда не мала нажить, а нужнее, чтобы, наживши, не погубить.	Бережь — Мотовство
Легче прожить деньги, чем нажить.	Бережь — Мотовство
Легче нажить деньги, чем сберечь. Просторно, да не исторно.	Бережь — Мотовство
Чтоб было дворно, да не проторно (или: не исторно).	Бережь — Мотовство
Он ест над горсточкой. Это над горсточкой съесть.	Бережь — Мотовство
Жалеть пива да выпить.	Бережь — Мотовство
Как поп попадью бережет (одним одна).	Бережь — Мотовство
Кто скупо живет, тот деньгу бережет.	Бережь — Мотовство
Домашняя копейка рубля бережет.	Бережь — Мотовство
Не приходом люди богатеют, а расходом.	Бережь — Мотовство
То и полезно, что в рот полезло.	Бережь — Мотовство
То и добро, что до нас дошло.	Бережь — Мотовство
Что прочно, то и беречь можно. То и прочно, что сбережено.	Бережь — Мотовство
И сыну отдай, и себе на смерть оставляй!	Бережь — Мотовство
И оставиша останки младенцем своим (псалт.).	Бережь — Мотовство
Попались жучки в боярские ручки.	Бережь — Мотовство
Потерял Мартын отцов алтын.	Бережь — Мотовство
Бессчастного (или: Бесталанного) дитю не наделить.	Бережь — Мотовство
Дай вору золотую гору — он и ту промотает.	Бережь — Мотовство
К пустой избе замка не надо.	Бережь — Мотовство
Пустил было в год (т. е. в рост), да заворотил в рот.	Бережь — Мотовство
Со своей легкой руки по миру пошел.	Бережь — Мотовство
На него и смотреть дымно (или: пыльно; прибавка: так курит).	Бережь — Мотовство
В среду съедим, так в четверг не глядим (или: поглядим).	Бережь — Мотовство
Сегодня съедим, так завтра поглядим.	Бережь — Мотовство
Ныне Тита — много пито; завтра Карпа — нет ни капли.	Бережь — Мотовство
Пироги до того доведут, что и хлеба не дадут.	Бережь — Мотовство
Ешь пироги, а хлеб вперед береги (т. е. ешь так, чтоб на  хлеб стало).	Бережь — Мотовство
Пироги да блины — а там сиди посиди (или: сиди да гляди).	Бережь — Мотовство
Охота (т. е. охоту) тешить — не беда платить.	Бережь — Мотовство
Мотоват, да не женат — одному себе внаклад.	Бережь — Мотовство
Денежка в кармане — тетушка в торгу.	Бережь — Мотовство
Густо ешь. Густо замешиваешь. Круто месишь: пожиже —  поспорее.	Бережь — Мотовство
Жирно ешь, усы засаливаешь.	Бережь — Мотовство
Он широко (или: широконько) плюет.	Бережь — Мотовство
У него не карман, а решето. Карман дыряв.	Бережь — Мотовство
У него дыра в горсти.	Бережь — Мотовство
Он просветил отцовы животы.	Бережь — Мотовство
Что батюшка лопаточкой сгребал, то сынок тросточкою  расшвырял.	Бережь — Мотовство
Бог даст денежку, а черт дырочку, и пойдет божья денежка в  чертову дырочку.	Бережь — Мотовство
Меняй хлеб на вино — веселей проживешь (от обычая угощать  осенью вином и принимать за это в подарок хлеб).	Бережь — Мотовство
Площадная речь, что надо деньги беречь.	Бережь — Мотовство
В рубле копейки нет, так и не полон рубль.	Бережь — Мотовство
Без копейки рубля нет. Рубль цел (или: крепок) копейкой.	Бережь — Мотовство
Рубль голову стережет.	Бережь — Мотовство
Копейка рубля бережет, а рубль голову стережет.	Бережь — Мотовство
Денежка рубля стережет, а рубль голову бережет.	Бережь — Мотовство
И рубля на улице на найдешь (или: не подберешь).	Бережь — Мотовство
Ложку за окошко даром не выкинешь.	Бережь — Мотовство
Домашняя копейка лучше отхожего (или: исхожего) рубля.	Бережь — Мотовство
Копейка к копейке — проживет и семейка.	Бережь — Мотовство
Не постой за клин, не станет и кафтана.	Бережь — Мотовство
Не постой за клин, не станет и осминника (т. е. земли).	Бережь — Мотовство
Собирай по ягодке (или: по грибку) — наберешь кузовок.	Бережь — Мотовство
Из крошек кучка, из капель море.	Бережь — Мотовство
Была кучка, стал ворошок (т. е. накопили).	Бережь — Мотовство
Пушинка к пушинке, и выйдет перинка.	Бережь — Мотовство
Чего не спроси, все на переписи (т. е. сбережено. в  порядке).	Бережь — Мотовство
Запор да замок — святое дело.	Бережь — Мотовство
Не кидай ломаного шворня: на чеку пригодится (от побасенки).	Бережь — Мотовство
Не приваливай котомки, не погань кусков.	Бережь — Мотовство
Добычка невеличка, да бережь большая.	Бережь — Мотовство
Маленька добычка, да большой бережь — век проживешь.	Бережь — Мотовство
Бережь лучше (или: дороже) прибытка.	Бережь — Мотовство
Маленька бережь лучше большого барыша.	Бережь — Мотовство
Бережливость лучше богатства.	Бережь — Мотовство
Носи, да наблюдай, да в коробейку запирай!	Бережь — Мотовство
Береженье лучше вороженья.	Бережь — Мотовство
Кто не бережет копейки, сам рубля не стоит.	Бережь — Мотовство
Час побережешься — век проживешь.	Бережь — Мотовство
Бережь — половина спасенья. Бережь спорее барышей.	Бережь — Мотовство
Хорошо, как гороху купишь, да плохо, коли весь растрясешь,  домой не донесешь.	Бережь — Мотовство
Хороши блинки, хоть и остынут, а еще лучше, как к вечеру  покинуть.	Бережь — Мотовство
Держи обиход по промыслу и добытку.	Бережь — Мотовство
На людей глядя жить (т. е. не по достатку) — на себя  плакаться.	Бережь — Мотовство
Не сметя себя жить (т. е. без расчета) — себя погубить.	Бережь — Мотовство
Не шути больше рубля. Больше рубля на себя не нашучивай!	Бережь — Мотовство
По естю старец келью строит.	Бережь — Мотовство
Не по карману затеи.	Бережь — Мотовство
Не по деньгам товар. Не по товару деньги.	Бережь — Мотовство
Не носить плаченого, не видать злаченого.	Бережь — Мотовство
Кашляй помалу, чтоб на год (или: надолго) стало.	Бережь — Мотовство
Семеро, да все на семена.	Бережь — Мотовство
По приходу расход держать. По приходу не стыдно расход  держать.	Бережь — Мотовство
Береги (или: Паси) денежку про черный день!	Бережь — Мотовство
Запас мешку не порча.	Бережь — Мотовство
Жив бог, жива душа моя (или: жива правда, надежа моя).	Терпение – Надежда
Бог терпел да и нам велел.	Терпение – Надежда
Власть господня. Воля божья. Власть создателя.	Терпение – Надежда
Как богу угодно. Видно, так богу угодно.	Терпение – Надежда
На все власть (или: воля) создателя.	Терпение – Надежда
Бог дал, бог и взял.	Терпение – Надежда
Во что бог ни поставит.	Терпение – Надежда
Подумаешь — горе; а раздумаешь — воля господня.	Терпение – Надежда
Конь под нами, а бог над нами (казачья).	Терпение – Надежда
Чей черед, тот и берет. Все идет в свой черед.	Терпение – Надежда
Придет пора, ударит и час.	Терпение – Надежда
Время придет, и час пробьет.	Терпение – Надежда
И всяк умрет, как смерть придет!	Терпение – Надежда
Час его ударил (или: приспел). Ударит и твой час.	Терпение – Надежда
Мясное в мясоед, а постному свой черед.	Терпение – Надежда
После цвету налив.	Терпение – Надежда
Когда будет рожь, тогда и мера.	Терпение – Надежда
Марфуша — покушай, Макавей — погоней.	Терпение – Надежда
Ветер по затиши, а по ветре тишь.	Терпение – Надежда
Свет стоит до тьмы, а тьма до свету.	Терпение – Надежда
Еще молоденек: доживешь до денег.	Терпение – Надежда
Тычь, потычь, перетычь, Ильич, притыкай, Фомич; а ты,  Кузмич, опосля потычь.	Терпение – Надежда
Не суйся наперед отца в петлю.	Терпение – Надежда
Не суйся середа наперед четверга (или: пятницы).	Терпение – Надежда
Не соваться, а поры (или: а череду) дожидаться.	Терпение – Надежда
Дай справиться: и нам будут кланяться.	Терпение – Надежда
Воевода приедет — и калачи принесут (от старин. обычая).	Терпение – Надежда
Нагуляется Иван — достанется и нам.	Терпение – Надежда
Кусают и комары до поры.	Терпение – Надежда
Пора придет, и вода пойдет. Время придет — вдруг продерет.	Терпение – Надежда
Придет пора — польет, что из ведра.	Терпение – Надежда
Не все ненастье — будет и вёдро.	Терпение – Надежда
Взойдет солнышко и к нам на двор (или: и на наш двор).	Терпение – Надежда
Дождик вымочит, а красно солнышко высушит.	Терпение – Надежда
Кто вымочит, тот и высушит.	Терпение – Надежда
Временем гнать, а другим бежать.	Терпение – Надежда
Овечку стригут, а другая того же себе жди.	Терпение – Надежда
Сегодня мне, завтра тебе.	Терпение – Надежда
По людям пойдет (т. е. черед), и до нас дойдет.	Терпение – Надежда
Ничего; мы подождем. Подождем, а свое возьмем.	Терпение – Надежда
Будет и на нашей улице праздник.	Терпение – Надежда
Придет время — будет и наш черед (или: и наша пора).	Терпение – Надежда
Временем в горку, а временем в норку.	Терпение – Надежда
Дождемся поры, так и мы из норы (прибавка: а в пору опять в  нору).	Терпение – Надежда
Доведется и нам свою песенку спеть.	Терпение – Надежда
Проведу и я свою борозду.	Терпение – Надежда
Пришлось и царской барыне тошнехонько.	Терпение – Надежда
Я в руке. Будем и мы в руке (от карточ. игры).	Терпение – Надежда
Иное время — иное бремя.	Терпение – Надежда
Едет холя, привезет и гребень.	Терпение – Надежда
Терпи горе неделю, а царствуй год. Терпенье дает уменье.	Терпение – Надежда
Терпи, казак, атаман будешь.	Терпение – Надежда
Будем молчать да станем поджидать.	Терпение – Надежда
Ждем-пождем, а что-нибудь да будет.	Терпение – Надежда
Терпи, голова, в кости скована.	Терпение – Надежда
Терпи горе: пей мед.	Терпение – Надежда
Не всем казакам в атаманах быть.	Терпение – Надежда
Не всем чернецам в игумнах быть.	Терпение – Надежда
Оттерпимся — и мы люди будем.	Терпение – Надежда
Час терпеть, а век жить.	Терпение – Надежда
За один раз дерева не срубишь. Не отпыхавшись, дерева не  срубишь.	Терпение – Надежда
Лежи на боку да гляди за реку.	Терпение – Надежда
У моря сиди да погоды жди. Сиди у моря да жди погоды.	Терпение – Надежда
На хотенье есть терпенье.	Терпение – Надежда
Терпенью — спасенье. Без терпенья нет спасенья. Не потерпев,  не спасешься.	Терпение – Надежда
Работай — сыт будешь; молись — спасешься; терпи —  взмилуются.	Терпение – Надежда
За терпенье дает бог спасенье.	Терпение – Надежда
И показал бог, да не дал. Все показал бог, да всего не дал.	Терпение – Надежда
Иному бог дал, иному показал.	Терпение – Надежда
И не могу забыть, да, видно, так и быть.	Терпение – Надежда
Терпенье и труд все перетрут.	Терпение – Надежда
Стояньем города неволят (или: берут).	Терпение – Надежда
Не гневи бога ропотом, молись ему шепотом.	Терпение – Надежда
На это плакаться — только напрасно бога гневить.	Терпение – Надежда
Не плачься, бог лучше полюбит.	Терпение – Надежда
Молись до пупа — бог любит докуку (т. е. клади крест ниже).	Терпение – Надежда
Капля камень долбит. Дятел и дуб продалбливает.	Терпение – Надежда
Дал бог денечек (или: роточек), даст и кусочек. Бог даст  день, даст и пищу.	Терпение – Надежда
После дождика даст бог солнышко.	Терпение – Надежда
На тучу будет и погода.	Терпение – Надежда
После ненастья вёдро. По ненастью вёдро.	Терпение – Надежда
Грозную тучу бог пронесет.	Терпение – Надежда
Бог тучу пронесет и вёдро принесет (или: пошлет, припасет).	Терпение – Надежда
Кто тучу пронесет, тот и вёдро пошлет.	Терпение – Надежда
На зло молящегося бог не слушает (т. е. кто молит о мести).	Терпение – Надежда
Бог дал живот, даст и здоровье.	Терпение – Надежда
Даст бог здоровья, даст и счастья.	Терпение – Надежда
Взирайте на птицы небесныя: не жнут, не сеют, а сыты бывают.	Терпение – Надежда
Человек не без квартирки, а мертвые не без могилки.	Терпение – Надежда
Живой не без жила (или: места), мертвый не без могилы.	Терпение – Надежда
Не плачься, что ночь студена: ободняет, так обогреет.	Терпение – Надежда
Не тужи по бабе: бог девку даст. Бог бабу отымет, так девку  даст (утешение вдовцу).	Терпение – Надежда
Ешь вошь, а будет и грош.	Терпение – Надежда
Деревья скоро садят, да не скоро с них плод едят.	Терпение – Надежда
Сей слезами, радостию пожнешь. Сеяй слезами, радостию  пожнет.	Терпение – Надежда
Кто с вечера плачет, поутру засмеется.	Терпение – Надежда
Утро вечера мудренее (т. е. подождем).	Терпение – Надежда
Бей сороку и ворону, добьешься и до белого лебедя (или: до  красного зверя).	Терпение – Надежда
Дай всякому делу перебродить на своих дрожжах.	Терпение – Надежда
Не тужи о ржи: только мешок держи.	Терпение – Надежда
Успеешь в красне находиться, было бы в чем.	Терпение – Надежда
Недалеко до молочка: всего одна ночка (с послед. дня поста).	Терпение – Надежда
Погоди, — сказала жидовка голодному сынку, — вот придет  шабаш, сварим юшку с лапшердаками.	Терпение – Надежда
Поживи в рабах, авось, будешь и в господах.	Терпение – Надежда
Не был звонарем, не быть и пономарем.	Терпение – Надежда
Подрастешь — свое наживешь.	Терпение – Надежда
Подрастешь (или: Поживешь), даст бог сам (или: еще)  наживешь.	Терпение – Надежда
Дай срок: будем мы и сами с усами.	Терпение – Надежда
Ешь горькое, доберешься и до сладкого.	Терпение – Надежда
Хоть и не вдруг, да буду друг.	Терпение – Надежда
Хотя с нуждою, а добьюсь чести (или: добился чести).	Терпение – Надежда
Оттерпимся — до чего-нибудь дотерпимся.	Терпение – Надежда
Оттерпимся — и мы люди будем.	Терпение – Надежда
Терпя, в люди выходят.	Терпение – Надежда
Подождем, так что-нибудь да выждем.	Терпение – Надежда
Исподволь и сырые дрова загораются.	Терпение – Надежда
Зимой платье и летом платье: будет платье и на нашей братье.	Терпение – Надежда
Князья в платье, и бояре в платье: будет платье и на нашей  братье.	Терпение – Надежда
Надеючись, и конь копытом бьет.	Терпение – Надежда
Надеючись, и кобыла в дровни лягает.	Терпение – Надежда
Наудачу казак на лошадь садится, наудачу его конь бьет.	Терпение – Надежда
Авось и рыбака толкает под бока.	Терпение – Надежда
Авось живы будем, авось помрем.	Терпение – Надежда
Авось — великое слово. Авось не бог, а полбога есть.	Терпение – Надежда
Авось, что заяц, в тенета попадает.	Терпение – Надежда
На авось мужик и хлеб сеет.	Терпение – Надежда
Не спрашивай урожаю, а паши да молись богу.	Терпение – Надежда
Авось задатка не дает. Авоське верь без задатка.	Терпение – Надежда
Авоська небоське набитый брат. Авоська дал.	Терпение – Надежда
С авоськи ни письма, ни записи. Авоське в долг верят.	Терпение – Надежда
Держись за авось, поколе не сорвалось.	Терпение – Надежда
Авоська вор, обманет. Авоська почасту обманывает.	Терпение – Надежда
Авось обманет, в лес уйдет. Авося жданки съели.	Терпение – Надежда
Авоська ушел, а небоську покинул.	Терпение – Надежда
На авось не надейся. Авосю не вовсе верь. Авосю верь не  вовсе.	Терпение – Надежда
Авось да небось — хоть вовсе брось.	Терпение – Надежда
Авось да живет — к добру не доведет.	Терпение – Надежда
Вывезет и авоська — да не знать куда.	Терпение – Надежда
Авоська веревку вьет, небоська петлю закидывает.	Терпение – Надежда
Наше авось не с дуба сорвалось (т. е. не бестолковое).	Терпение – Надежда
Живи, ни о чем не тужи; все проживешь — авось еще наживешь.	Терпение – Надежда
Здорово проживу — авось еще наживу.	Терпение – Надежда
Зима пройдет, и снег сойдет, а что посеяно — взойдет.	Терпение – Надежда
Не срывай яблока, пока зелено: созреет, и само упадет.	Терпение – Надежда
Жди, так дождешься. Жди, чего-нибудь дождешься.	Терпение – Надежда
Ждем-пождем: на что-то наждем. Век ждать — век прождать.	Терпение – Надежда
Когда доведется, и все минется.	Терпение – Надежда
Не устать ждать, только бы выждать.	Терпение – Надежда
Ждали-пождали, да жданки и наждали.	Терпение – Надежда
Жди. — А там что? — Закладывай санки да поезжай в жданки.	Терпение – Надежда
Авосевы города не горожены, Авоськины детки не рожены.	Терпение – Надежда
Что делали? — Ждали. — А что выждали? — Жданки.	Терпение – Надежда
Не робей: жди, не спотыкаючись.	Терпение – Надежда
Жду-пожду да еще пожду.	Терпение – Надежда
Ждать сели да жданки и съели.	Терпение – Надежда
Ждать-то ждали, да жданки и съели.	Терпение – Надежда
Супорно жди, а дело делай.	Терпение – Надежда
Топор своего дорубится.	Терпение – Надежда
Серенькое утро — красный денек.	Терпение – Надежда
Последняя удача лучше первой.	Терпение – Надежда
Когда доведется, так все минется.	Терпение – Надежда
Жив, жив Чурилка (или: Курилка). Жив Курилка, не умер.	Терпение – Надежда
Жив Курилка, жива надежа моя.	Терпение – Надежда
Всякое дело до случая. Все стоит до поры.	Терпение – Надежда
Всякое время переходчиво.	Терпение – Надежда
Пора (или: Година), что туча: набежит, и пробежит, и опять  найдет.	Терпение – Надежда
Вынется — сбудется, а сбудется — не минуется.	Терпение – Надежда
Полоса пробежит — другая набежит.	Терпение – Надежда
Всему бывает перемена. Всему мена да перемена.	Терпение – Надежда
До времени все с рук сходит.	Терпение – Надежда
Сбылось одно, сбудется и другое.	Терпение – Надежда
Майся до первой смерти.	Терпение – Надежда
Колотись, бейся, а все надейся.	Терпение – Надежда
Коли тут житья нет, так жди перевода на тот свет.	Терпение – Надежда
Жди, коли дождешься (прибавка: а не дождешься — и так  пробьешься).	Терпение – Надежда
Ждем-пождем — а не то домой пойдем.	Терпение – Надежда
Погодить — не устать, было б потерпежное (плата за  терпение).	Терпение – Надежда
Ждать — не устать, было б чего искать.	Терпение – Надежда
Ждать воды — не беда, да пришла бы вода.	Терпение – Надежда
Лихо терпеть, а оттерпится — слюбится.	Терпение – Надежда
Не скучай в нынешний случай (прибавка: время переходчиво).	Терпение – Надежда
Жду не дождусь. Ждем, инно руки обвисли.	Терпение – Надежда
Жду во всю мочь девятую ночь.	Терпение – Надежда
Нет моей моченьки: прождала три ноченьки.	Терпение – Надежда
Это все ничего, а вот поглядим, что-то вперед будет.	Терпение – Надежда
Где лодья не рыщет, а у якоря будет (арханг.).	Терпение – Надежда
Пропала (погибла, сгинула, сгорела, потонула) моя надежда.	Терпение – Надежда
Кем хвалился, на том и провалился.	Терпение – Надежда
Тут и у святого терпенье лопнет.	Терпение – Надежда
Терпя, и камень треснет. На жару и камень лопнет.	Терпение – Надежда
Ждать беду тяжеле (или: не легче) кнута.	Терпение – Надежда
Хоть бы уж один конец.	Терпение – Надежда
Уж чему быть, тому быть — только бы конец видать.	Терпение – Надежда
Хоть топором отрубить, только бы конец.	Терпение – Надежда
Хоть голову с плеч (или: Хоть голову ссечь, снесть), да один  бы конец.	Терпение – Надежда
Наше дело: что же делать; ваше дело: как же быть.	Терпение – Надежда
Коли уж так и быть — так не по чем и тужить.	Терпение – Надежда
Залез, так сиди. Увяз, так и сиди.	Терпение – Надежда
Побьют — не воз навьют. Побьют — только холку помнут.	Терпение – Надежда
Побили, так молчи да помни.	Терпение – Надежда
Хлеба не станет, так песни пой; лошадь пристанет — выше  хвост подвязывай.	Терпение – Надежда
Старайся, ребята, старайся: помрешь, так с музыкой похороню  (говорят на солдатском ученье).	Терпение – Надежда
Сидела (или: Служила) сорок лет, высидела сорок реп, да и  тех нет.	Терпение – Надежда
Долго сидели, да ничего не высидели.	Терпение – Надежда
Тяжело ждать, так ничего не видать (или: ни зги не видать).	Терпение – Надежда
Пока зацветут камыши, у нас не будет души.	Терпение – Надежда
Пока кишка по урядью пройдет (т. е. дело по судам), нас и  скрючит и распучит.	Терпение – Надежда
И наша правда будет, да нас тогда не будет.	Терпение – Надежда
Надейся на него, как на вешний лед.	Терпение – Надежда
Дождешься, как от вербы яблоков.	Терпение – Надежда
Давно кошка умылась, а гостей нет.	Терпение – Надежда
Кошка пустомойка: гостей замывала, да не замыла.	Терпение – Надежда
Улита едет, когда-то будет.	Терпение – Надежда
